name,label,kind
uberon:0000002::Anatomy,uterine cervix,Anatomy
uberon:0000004::Anatomy,nose,Anatomy
uberon:0000006::Anatomy,islet of Langerhans,Anatomy
uberon:0000007::Anatomy,pituitary gland,Anatomy
uberon:0000010::Anatomy,peripheral nervous system,Anatomy
uberon:0000011::Anatomy,parasympathetic nervous system,Anatomy
uberon:0000013::Anatomy,sympathetic nervous system,Anatomy
uberon:0000020::Anatomy,sense organ,Anatomy
uberon:0000026::Anatomy,appendage,Anatomy
uberon:0000029::Anatomy,lymph node,Anatomy
uberon:0000033::Anatomy,head,Anatomy
uberon:0000038::Anatomy,follicular fluid,Anatomy
uberon:0000042::Anatomy,serous membrane,Anatomy
uberon:0000043::Anatomy,tendon,Anatomy
uberon:0000045::Anatomy,ganglion,Anatomy
uberon:0000053::Anatomy,macula lutea,Anatomy
uberon:0000054::Anatomy,macula,Anatomy
uberon:0000056::Anatomy,ureter,Anatomy
uberon:0000057::Anatomy,urethra,Anatomy
uberon:0000165::Anatomy,mouth,Anatomy
uberon:0000178::Anatomy,blood,Anatomy
uberon:0000211::Anatomy,ligament,Anatomy
uberon:0000473::Anatomy,testis,Anatomy
uberon:0000474::Anatomy,female reproductive system,Anatomy
uberon:0000482::Anatomy,basal lamina of epithelium,Anatomy
uberon:0000483::Anatomy,epithelium,Anatomy
uberon:0000922::Anatomy,embryo,Anatomy
uberon:0000941::Anatomy,cranial nerve II,Anatomy
uberon:0000946::Anatomy,cardial valve,Anatomy
uberon:0000948::Anatomy,heart,Anatomy
uberon:0000949::Anatomy,endocrine system,Anatomy
uberon:0000955::Anatomy,brain,Anatomy
uberon:0000959::Anatomy,optic chiasma,Anatomy
uberon:0000964::Anatomy,cornea,Anatomy
uberon:0000966::Anatomy,retina,Anatomy
uberon:0000970::Anatomy,eye,Anatomy
uberon:0000974::Anatomy,neck,Anatomy
uberon:0000975::Anatomy,sternum,Anatomy
uberon:0000977::Anatomy,pleura,Anatomy
uberon:0000978::Anatomy,leg,Anatomy
uberon:0000982::Anatomy,skeletal joint,Anatomy
uberon:0000985::Anatomy,axillary vein,Anatomy
uberon:0000988::Anatomy,pons,Anatomy
uberon:0000989::Anatomy,penis,Anatomy
uberon:0000991::Anatomy,gonad,Anatomy
uberon:0000992::Anatomy,female gonad,Anatomy
uberon:0000993::Anatomy,oviduct,Anatomy
uberon:0000995::Anatomy,uterus,Anatomy
uberon:0000996::Anatomy,vagina,Anatomy
uberon:0000997::Anatomy,mammalian vulva,Anatomy
uberon:0000998::Anatomy,seminal vesicle,Anatomy
uberon:0000999::Anatomy,ejaculatory duct,Anatomy
uberon:0001000::Anatomy,vas deferens,Anatomy
uberon:0001003::Anatomy,skin epidermis,Anatomy
uberon:0001004::Anatomy,respiratory system,Anatomy
uberon:0001007::Anatomy,digestive system,Anatomy
uberon:0001008::Anatomy,renal system,Anatomy
uberon:0001011::Anatomy,hemolymph,Anatomy
uberon:0001013::Anatomy,adipose tissue,Anatomy
uberon:0001016::Anatomy,nervous system,Anatomy
uberon:0001017::Anatomy,central nervous system,Anatomy
uberon:0001021::Anatomy,nerve,Anatomy
uberon:0001031::Anatomy,sheath of Schwann,Anatomy
uberon:0001037::Anatomy,strand of hair,Anatomy
uberon:0001044::Anatomy,saliva-secreting gland,Anatomy
uberon:0001064::Anatomy,ventral pancreatic duct,Anatomy
uberon:0001067::Anatomy,vertebral arch joint,Anatomy
uberon:0001070::Anatomy,external carotid artery,Anatomy
uberon:0001072::Anatomy,posterior vena cava,Anatomy
uberon:0001088::Anatomy,urine,Anatomy
uberon:0001089::Anatomy,sweat,Anatomy
uberon:0001090::Anatomy,synovial fluid,Anatomy
uberon:0001093::Anatomy,vertebral bone 2,Anatomy
uberon:0001103::Anatomy,diaphragm,Anatomy
uberon:0001105::Anatomy,clavicle bone,Anatomy
uberon:0001111::Anatomy,intercostal muscle,Anatomy
uberon:0001130::Anatomy,vertebral column,Anatomy
uberon:0001132::Anatomy,parathyroid gland,Anatomy
uberon:0001135::Anatomy,smooth muscle tissue,Anatomy
uberon:0001140::Anatomy,renal vein,Anatomy
uberon:0001143::Anatomy,hepatic vein,Anatomy
uberon:0001148::Anatomy,median nerve,Anatomy
uberon:0001174::Anatomy,common bile duct,Anatomy
uberon:0001175::Anatomy,common hepatic duct,Anatomy
uberon:0001182::Anatomy,superior mesenteric artery,Anatomy
uberon:0001183::Anatomy,inferior mesenteric artery,Anatomy
uberon:0001184::Anatomy,renal artery,Anatomy
uberon:0001193::Anatomy,hepatic artery,Anatomy
uberon:0001194::Anatomy,splenic artery,Anatomy
uberon:0001224::Anatomy,renal pelvis,Anatomy
uberon:0001225::Anatomy,cortex of kidney,Anatomy
uberon:0001228::Anatomy,renal papilla,Anatomy
uberon:0001231::Anatomy,nephron tubule,Anatomy
uberon:0001232::Anatomy,collecting duct of renal tubule,Anatomy
uberon:0001235::Anatomy,adrenal cortex,Anatomy
uberon:0001236::Anatomy,adrenal medulla,Anatomy
uberon:0001237::Anatomy,paraaortic body,Anatomy
uberon:0001264::Anatomy,pancreas,Anatomy
uberon:0001267::Anatomy,femoral nerve,Anatomy
uberon:0001283::Anatomy,bile canaliculus,Anatomy
uberon:0001285::Anatomy,nephron,Anatomy
uberon:0001288::Anatomy,loop of Henle,Anatomy
uberon:0001295::Anatomy,endometrium,Anatomy
uberon:0001296::Anatomy,myometrium,Anatomy
uberon:0001300::Anatomy,scrotum,Anatomy
uberon:0001305::Anatomy,ovarian follicle,Anatomy
uberon:0001310::Anatomy,umbilical artery,Anatomy
uberon:0001322::Anatomy,sciatic nerve,Anatomy
uberon:0001323::Anatomy,tibial nerve,Anatomy
uberon:0001324::Anatomy,common fibular nerve,Anatomy
uberon:0001343::Anatomy,seminiferous tubule of testis,Anatomy
uberon:0001348::Anatomy,brown adipose tissue,Anatomy
uberon:0001352::Anatomy,external acoustic meatus,Anatomy
uberon:0001361::Anatomy,femoral vein,Anatomy
uberon:0001365::Anatomy,sacro-iliac joint,Anatomy
uberon:0001394::Anatomy,axillary artery,Anatomy
uberon:0001398::Anatomy,brachial artery,Anatomy
uberon:0001404::Anatomy,radial artery,Anatomy
uberon:0001406::Anatomy,ulnar artery,Anatomy
uberon:0001437::Anatomy,epiphysis,Anatomy
uberon:0001456::Anatomy,face,Anatomy
uberon:0001460::Anatomy,arm,Anatomy
uberon:0001461::Anatomy,elbow,Anatomy
uberon:0001463::Anatomy,manual digit 1,Anatomy
uberon:0001464::Anatomy,hip,Anatomy
uberon:0001465::Anatomy,knee,Anatomy
uberon:0001467::Anatomy,shoulder,Anatomy
uberon:0001469::Anatomy,sternoclavicular joint,Anatomy
uberon:0001470::Anatomy,glenohumeral joint,Anatomy
uberon:0001479::Anatomy,sesamoid bone,Anatomy
uberon:0001484::Anatomy,articular capsule,Anatomy
uberon:0001485::Anatomy,knee joint,Anatomy
uberon:0001486::Anatomy,hip joint,Anatomy
uberon:0001488::Anatomy,ankle joint,Anatomy
uberon:0001490::Anatomy,elbow joint,Anatomy
uberon:0001492::Anatomy,radial nerve,Anatomy
uberon:0001494::Anatomy,ulnar nerve,Anatomy
uberon:0001515::Anatomy,thoracic aorta,Anatomy
uberon:0001516::Anatomy,abdominal aorta,Anatomy
uberon:0001529::Anatomy,brachiocephalic artery,Anatomy
uberon:0001530::Anatomy,common carotid artery plus branches,Anatomy
uberon:0001532::Anatomy,internal carotid artery,Anatomy
uberon:0001533::Anatomy,subclavian artery,Anatomy
uberon:0001535::Anatomy,vertebral artery,Anatomy
uberon:0001544::Anatomy,popliteal vein,Anatomy
uberon:0001567::Anatomy,cheek,Anatomy
uberon:0001577::Anatomy,facial muscle,Anatomy
uberon:0001579::Anatomy,olfactory nerve,Anatomy
uberon:0001585::Anatomy,anterior vena cava,Anatomy
uberon:0001587::Anatomy,subclavian vein,Anatomy
